,Timestamp_rome,Open,High,Low,Close,Volume,Trades,fast_period,slow_period,macd,signal,hist,atr,Trade_Direction,stop_loss,price_slope,donchain_pos,sar,Rsi_9,Rsi_14,OBV,ema_50_slope,ema_200_slope,ema_gap,distance_from_ema_50,distance_from_ema_200
3214,2022-12-20 16:35:00+01:00,17001.64,17009.79,16980.6,16986.64,1308.04152,1.0,16989.248714302234,16935.261004670563,53.98770963167044,58.23329399162962,-4.245584359959182,48.40687291710374,-1,17107.657182292758,12.609586466165414,0.7874697422753789,16812.661554719798,75.37549389786878,72.50839300025149,-53780.54019000002,0.5669482372258748,0.818576599584307,0.5000498506926329,0.007948262654825277,0.012884333073455052
3500,2022-12-21 16:25:00+01:00,16816.06,16829.91,16806.05,16827.62,698.28106,0.0,16822.9368194978,16830.02279588308,-7.085976385278627,-7.8421216054568506,0.7561452201782233,31.529977489752444,1,16748.79505627562,-1.917240601502415,0.5456916336323719,16873.070323440523,47.05079350877628,46.834738256462906,-54245.165639999985,-0.2378667643951196,0.0327357227243009,0.003608295892428773,0.0009848540156015377,0.0009487368234454195
3558,2022-12-21 21:15:00+01:00,16757.89,16765.0,16751.07,16761.22,588.76941,1.0,16753.81781222779,16762.2742846426,-8.456472414811287,-9.680897988785082,1.2244255739737948,18.244900828010802,1,16715.607747929975,-2.4677067669178534,0.42198446057829186,16781.09436591164,41.70847188878991,40.64274350629085,-57248.52500999998,-0.9194368179131241,-0.36733496547964584,-0.1727171437466008,0.0020755386476063492,0.0038092893808880698
3616,2022-12-22 02:05:00+01:00,16849.13,16849.13,16838.37,16842.69,306.59637,1.0,16849.928545092618,16840.68207525123,9.246469841389626,10.243464051237858,-0.9969942098482321,15.774207973054718,-1,16882.125519932637,2.745518796992369,0.7815633683701625,16805.618881977396,61.13985007726357,61.78415032371654,-57850.90598999998,0.2564420401329324,-0.19956739105233767,-0.03348800916883077,0.0021112048957746678,0.0017769198591717221
3771,2022-12-22 15:00:00+01:00,16780.48,16792.13,16774.32,16784.65,818.17732,0.0,16779.202460012537,16788.463038557544,-9.260578545006865,-10.53532941875716,1.2747508737502944,16.957232017660633,1,16742.25691995585,-2.446270676691617,0.3415667933353109,16794.950912,33.71825194147651,33.91552490639347,-67240.46813999997,-0.2964082664585915,-0.03613686269551766,-0.049283069699865865,0.0017205935221060499,0.002214515600371554
3782,2022-12-22 15:55:00+01:00,16665.86,16679.12,16658.0,16675.03,862.93287,0.0,16670.667031339526,16702.01235948851,-31.345328148985573,-32.30047258173198,0.9551444327464083,28.425730936894645,1,16603.965672657763,-7.801992481203568,0.2442238941358544,16705.277106159996,27.81606520487323,27.198743323274293,-68674.83681999997,-0.844345793810612,-0.21825003496561587,-0.20120226736956903,0.006100499287565561,0.0081288774469963
3820,2022-12-22 19:05:00+01:00,16576.34,16594.98,16573.3,16593.2,736.31528,1.0,16584.47194462091,16590.87001151712,-6.398066896210366,-8.037441956188028,1.6393750599776613,25.752449546583488,1,16528.81887613354,-5.084541353382787,0.30414956680348143,16609.43,36.24810281172894,35.056204076668806,-77559.15161,-3.059429143659722,-1.3436436363920874,-0.5541686755621417,0.00427575180579803,0.009872146907184541
3851,2022-12-22 21:40:00+01:00,16754.91,16774.43,16741.09,16760.01,1090.32245,0.0,16766.043286816832,16723.69223900232,42.35104781451082,44.445570547827884,-2.0945227333170635,34.62377551530206,-1,16846.569438788254,8.101924812030747,0.621414289794742,16736.1308,66.47544390678043,66.30283289740885,-72890.04454999999,-1.2715258960460558,-1.216038229336229,-0.35857478580964347,0.005303551782129663,0.0017239857020718214
3878,2022-12-22 23:55:00+01:00,16788.72,16805.89,16788.11,16798.41,438.58615,0.0,16799.897770038904,16819.57268303541,-19.674912996506464,-20.96696511786207,1.2920521213556064,20.37520660818786,1,16747.47198347953,-0.5005488721807873,0.25114433933474073,16844.894616,51.834509728611586,55.88698851745447,-71464.73433999998,2.773160439138882,0.1894387035438565,0.052907037323741676,0.0025247677691426717,0.0030522233014587817
4057,2022-12-23 14:50:00+01:00,16886.4,16892.99,16830.44,16853.31,1902.72409,0.0,16869.24978959812,16867.839559320404,1.4102302777173463,1.4491003628759422,-0.03887008515859591,38.8380799771611,-1,16950.405199942903,0.6444135338342504,0.5454220793714618,16740.000796000004,45.59276538679551,47.53632959745411,-71013.13377000001,0.3899298844137112,0.3965067608859645,0.18005688893677857,0.00015618200445986845,0.001641431374640707
